geostate,N
AK,738516
AL,4864680
AR,2990671
AZ,6946685
CA,39148760
CO,5531141
CT,3581504
DC,684498
DE,949495
FL,20598139
GA,10297484
HI,1422029
IA,3132499
ID,1687809
IL,12821497
IN,6637426
KS,2908776
KY,4440204
LA,4663616
MA,6830193
MD,6003435
ME,1332813
MI,9957488
MN,5527358
MO,6090062
MS,2988762
MT,1041732
NC,10155624
ND,752201
NE,1904760
NH,1343622
NJ,8881845
NM,2092434
NV,2922849
NY,19618453
OH,11641879
OK,3918137
OR,4081943
PA,12791181
PR,3386941
RI,1056611
SC,4955925
SD,864289
TN,6651089
TX,27885195
UT,3045350
VA,8413774
VT,624977
WA,7294336
WI,5778394
WV,1829054
WY,581836
